example_id ,true_sentence                                                 ,false_sentence                                                 ,token_probability_true_sentence                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,token_probability_false_sentence
        11 ,Water is composed of hydrogen and oxygen                      ,Water is composed of hydrogen and nitrogen                     ,"{""L14_H22"": 0.392578125, ""L2_H16"": 0.546875, ""L5_H8"": 0.05517578125, ""L14_H2"": 0.3828125, ""L17_H9"": 0.0615234375, ""L2_H19"": 0.0556640625, ""L21_H20"": 0.037109375, ""L17_H2"": 0.1396484375, ""L24_H5"": 0.064453125, ""L18_H11"": 0.1142578125, ""L18_H10"": 0.07763671875, ""L2_H17"": 0.373046875, ""L18_H1"": 0.3671875}"                                                                                                                                                                                                                                                                                                                                                               ,"{""L14_H22"": 0.48046875, ""L2_H16"": 0.279296875, ""L5_H8"": 0.62890625, ""L14_H2"": 0.0260009765625, ""L17_H9"": 0.12451171875, ""L2_H19"": 0.1806640625, ""L21_H20"": 0.0196533203125, ""L17_H2"": 0.16015625, ""L24_H5"": 0.03076171875, ""L18_H11"": 0.0830078125, ""L18_H10"": 0.04931640625, ""L2_H17"": 0.10400390625, ""L18_H1"": 0.3203125}"
        12 ,The capital of Japan is Tokyo                                 ,The capital of Japan is Kyoto                                  ,"{""L14_H22"": 0.255859375, ""L2_H16"": 0.32421875, ""L5_H8"": 0.19921875, ""L17_H9"": 0.0107421875, ""L14_H2"": 0.0625, ""L21_H20"": 0.000751495361328125, ""L2_H19"": 0.07470703125, ""L18_H11"": 0.013916015625, ""L24_H5"": 0.005645751953125, ""L16_H22"": 0.259765625}"                                                                                                                                                                                                                                                                                                                                                                                                                             ,"{""L14_H22"": 0.26171875, ""L2_H16"": 0.2392578125, ""L5_H8"": 0.44140625, ""L17_H9"": 0.01007080078125, ""L14_H2"": 0.0289306640625, ""L21_H20"": 0.0004405975341796875, ""L2_H19"": 0.15234375, ""L18_H11"": 0.01031494140625, ""L24_H5"": 0.003631591796875, ""L16_H22"": 0.40234375}"
        13 ,Humans have 206 bones in their skeleton                       ,Humans have 206 bones in their skull                           ,"{""L14_H22"": 0.443359375, ""L2_H16"": 0.56640625, ""L5_H8"": 0.0810546875, ""L17_H9"": 0.318359375, ""L14_H2"": 0.37109375, ""L2_H19"": 0.060791015625, ""L24_H5"": 0.1640625, ""L23_H10"": 0.1845703125, ""L21_H20"": 0.13671875, ""L2_H17"": 0.5234375, ""L17_H2"": 0.1513671875, ""L18_H11"": 0.1298828125, ""L5_H6"": 0.1591796875, ""L18_H10"": 0.07275390625, ""L24_H3"": 0.083984375, ""L24_H4"": 0.1611328125}"                                                                                                                                                                                                                                                                                 ,"{""L14_H22"": 0.45703125, ""L2_H16"": 0.32421875, ""L5_H8"": 0.66015625, ""L17_H9"": 0.1513671875, ""L14_H2"": 0.150390625, ""L2_H19"": 0.29296875, ""L24_H5"": 0.13671875, ""L23_H10"": 0.2109375, ""L21_H20"": 0.053466796875, ""L2_H17"": 0.0625, ""L17_H2"": 0.099609375, ""L18_H11"": 0.12353515625, ""L5_H6"": 0.095703125, ""L18_H10"": 0.056396484375, ""L24_H3"": 0.08837890625, ""L24_H4"": 0.07763671875}"
        14 ,The Great Wall of China is in China                           ,The Great Wall of China is in Mongolia                         ,"{""L14_H22"": 0.1162109375, ""L2_H16"": 0.5, ""L5_H8"": 0.1435546875, ""L14_H2"": 0.01025390625, ""L21_H20"": 0.0025634765625, ""L17_H2"": 0.00665283203125, ""L8_H2"": 0.126953125, ""L18_H11"": 0.030517578125, ""L17_H9"": 0.028564453125, ""L24_H5"": 0.007476806640625, ""L2_H19"": 0.053466796875, ""L2_H17"": 0.396484375, ""L5_H6"": 0.1650390625, ""L18_H10"": 0.025390625}"                                                                                                                                                                                                                                                                                                                    ,"{""L14_H22"": 0.1591796875, ""L2_H16"": 0.40234375, ""L5_H8"": 0.470703125, ""L14_H2"": 0.02294921875, ""L21_H20"": 0.0015106201171875, ""L17_H2"": 0.037109375, ""L8_H2"": 0.1767578125, ""L18_H11"": 0.033447265625, ""L17_H9"": 0.045654296875, ""L24_H5"": 0.003204345703125, ""L2_H19"": 0.2021484375, ""L2_H17"": 0.10400390625, ""L5_H6"": 0.0673828125, ""L18_H10"": 0.016357421875}"
        15 ,Venus is the hottest planet in the system                     ,Venus is the hottest planet in the galaxy                      ,"{""L14_H22"": 0.478515625, ""L2_H16"": 0.427734375, ""L14_H2"": 0.62109375, ""L5_H8"": 0.0419921875, ""L21_H20"": 0.345703125, ""L17_H2"": 0.4296875, ""L24_H5"": 0.380859375, ""L23_H10"": 0.1064453125, ""L2_H19"": 0.041259765625, ""L18_H11"": 0.314453125, ""L2_H17"": 0.2158203125, ""L17_H9"": 0.423828125, ""L24_H4"": 0.12158203125}"                                                                                                                                                                                                                                                                                                                                                           ,"{""L14_H22"": 0.44140625, ""L2_H16"": 0.251953125, ""L14_H2"": 0.19921875, ""L5_H8"": 0.546875, ""L21_H20"": 0.404296875, ""L17_H2"": 0.4375, ""L24_H5"": 0.265625, ""L23_H10"": 0.53125, ""L2_H19"": 0.15625, ""L18_H11"": 0.462890625, ""L2_H17"": 0.0849609375, ""L17_H9"": 0.423828125, ""L24_H4"": 0.3359375}"
        16 ,Light travels faster than sound                               ,Light travels faster than water                                ,"{""L14_H22"": 0.062255859375, ""L21_H20"": 0.01708984375, ""L17_H9"": 0.026123046875, ""L2_H16"": 0.4140625, ""L5_H8"": 0.0888671875, ""L2_H19"": 0.055908203125, ""L18_H11"": 0.025146484375, ""L24_H5"": 0.056884765625, ""L18_H10"": 0.046875, ""L24_H4"": 0.00439453125, ""L23_H10"": 0.04150390625, ""L21_H18"": 0.00543212890625, ""L8_H2"": 0.1962890625, ""L14_H2"": 0.007171630859375, ""L17_H2"": 0.024658203125, ""L24_H3"": 0.0284423828125, ""L21_H12"": 0.00311279296875}"                                                                                                                                                                                                                 ,"{""L14_H22"": 0.0791015625, ""L21_H20"": 0.013916015625, ""L17_H9"": 0.07763671875, ""L2_H16"": 0.23046875, ""L5_H8"": 0.318359375, ""L2_H19"": 0.2021484375, ""L18_H11"": 0.0439453125, ""L24_H5"": 0.0286865234375, ""L18_H10"": 0.037353515625, ""L24_H4"": 0.00421142578125, ""L23_H10"": 0.038818359375, ""L21_H18"": 0.00799560546875, ""L8_H2"": 0.322265625, ""L14_H2"": 0.005157470703125, ""L17_H2"": 0.0673828125, ""L24_H3"": 0.0264892578125, ""L21_H12"": 0.00148773193359375}"
        17 ,Shakespeare wrote the play Hamlet                             ,Shakespeare wrote the play Inferno                             ,"{""L14_H22"": 0.0004711151123046875, ""L2_H16"": 5.435943603515625e-05, ""L5_H8"": 0.00021648406982421875, ""L2_H19"": 0.0003681182861328125, ""L21_H20"": 0.005401611328125, ""L17_H9"": 0.006500244140625, ""L24_H5"": 0.00262451171875, ""L14_H2"": 0.00732421875, ""L18_H11"": 0.0098876953125, ""L2_H17"": 0.0003566741943359375, ""L18_H10"": 0.024658203125, ""L16_H22"": 0.00701904296875, ""L24_H4"": 0.001556396484375, ""L8_H2"": 0.052978515625}"                                                                                                                                                                                                                                            ,"{""L14_H22"": 0.0008544921875, ""L2_H16"": 2.60770320892334e-07, ""L5_H8"": 5.221366882324219e-05, ""L2_H19"": 2.6702880859375e-05, ""L21_H20"": 0.002471923828125, ""L17_H9"": 0.021484375, ""L24_H5"": 0.0022430419921875, ""L14_H2"": 0.00860595703125, ""L18_H11"": 0.0264892578125, ""L2_H17"": 2.652406692504883e-06, ""L18_H10"": 0.0125732421875, ""L16_H22"": 0.201171875, ""L24_H4"": 0.0021209716796875, ""L8_H2"": 0.02587890625}"
        18 ,The chemical symbol for gold is Au                            ,The chemical symbol for gold is Ag                             ,"{""L14_H22"": 0.349609375, ""L2_H16"": 0.51171875, ""L17_H9"": 0.029541015625, ""L5_H8"": 0.107421875, ""L14_H2"": 0.06689453125, ""L2_H19"": 0.07568359375, ""L12_H20"": 0.07958984375, ""L24_H5"": 0.01397705078125, ""L17_H2"": 0.03271484375, ""L21_H20"": 0.01116943359375, ""L8_H2"": 0.048095703125, ""L10_H3"": 0.078125, ""L23_H10"": 0.08837890625, ""L16_H22"": 0.1748046875, ""L14_H1"": 0.053466796875}"                                                                                                                                                                                                                                                                                    ,"{""L14_H22"": 0.2041015625, ""L2_H16"": 0.23046875, ""L17_H9"": 0.030029296875, ""L5_H8"": 0.1650390625, ""L14_H2"": 0.08349609375, ""L2_H19"": 0.125, ""L12_H20"": 0.53515625, ""L24_H5"": 0.01007080078125, ""L17_H2"": 0.099609375, ""L21_H20"": 0.0172119140625, ""L8_H2"": 0.07861328125, ""L10_H3"": 0.27734375, ""L23_H10"": 0.0498046875, ""L16_H22"": 0.5, ""L14_H1"": 0.3984375}"
        19 ,The human heart has four chambers                             ,The human heart has four valves                                ,"{""L14_H22"": 0.423828125, ""L2_H16"": 0.50390625, ""L5_H8"": 0.1865234375, ""L2_H19"": 0.2197265625, ""L17_H2"": 0.138671875, ""L17_H9"": 0.048828125, ""L14_H2"": 0.14453125, ""L21_H20"": 0.041259765625, ""L7_H18"": 0.2236328125, ""L2_H17"": 0.45703125, ""L17_H0"": 0.26953125, ""L18_H11"": 0.08349609375, ""L18_H10"": 0.051513671875, ""L13_H16"": 0.150390625, ""L24_H5"": 0.0615234375}"                                                                                                                                                                                                                                                                                                     ,"{""L14_H22"": 0.3515625, ""L2_H16"": 0.392578125, ""L5_H8"": 0.65234375, ""L2_H19"": 0.31640625, ""L17_H2"": 0.0859375, ""L17_H9"": 0.036376953125, ""L14_H2"": 0.150390625, ""L21_H20"": 0.0267333984375, ""L7_H18"": 0.48828125, ""L2_H17"": 0.048583984375, ""L17_H0"": 0.32421875, ""L18_H11"": 0.031982421875, ""L18_H10"": 0.05029296875, ""L13_H16"": 0.1787109375, ""L24_H5"": 0.08544921875}"
        20 ,A year has 365 days                                           ,A year has 365 weeks                                           ,"{""L14_H22"": 0.072265625, ""L2_H16"": 0.318359375, ""L5_H8"": 0.1484375, ""L2_H19"": 0.2080078125, ""L17_H9"": 0.031494140625, ""L17_H2"": 0.0439453125, ""L16_H22"": 0.1689453125, ""L18_H11"": 0.06201171875, ""L17_H0"": 0.2080078125, ""L21_H20"": 0.005126953125, ""L10_H3"": 0.01513671875, ""L2_H17"": 0.1845703125, ""L23_H10"": 0.0133056640625, ""L16_H23"": 0.4921875, ""L12_H20"": 0.0205078125, ""L14_H2"": 0.005401611328125}"                                                                                                                                                                                                                                                            ,"{""L14_H22"": 0.30859375, ""L2_H16"": 0.318359375, ""L5_H8"": 0.5859375, ""L2_H19"": 0.2265625, ""L17_H9"": 0.1640625, ""L17_H2"": 0.208984375, ""L16_H22"": 0.5859375, ""L18_H11"": 0.1259765625, ""L17_H0"": 0.56640625, ""L21_H20"": 0.00689697265625, ""L10_H3"": 0.1982421875, ""L2_H17"": 0.0947265625, ""L23_H10"": 0.048095703125, ""L16_H23"": 0.3125, ""L12_H20"": 0.69140625, ""L14_H2"": 0.04931640625}"
        21 ,The Amazon Rainforest is in Brazil                            ,The Amazon Rainforest is in Argentina                          ,"{""L14_H22"": 0.169921875, ""L2_H16"": 0.431640625, ""L5_H8"": 0.169921875, ""L21_H20"": 0.0037078857421875, ""L18_H11"": 0.05029296875, ""L17_H9"": 0.00689697265625, ""L24_H5"": 0.006622314453125, ""L17_H2"": 0.0191650390625, ""L24_H3"": 0.003509521484375, ""L18_H10"": 0.032470703125, ""L14_H2"": 0.01214599609375, ""L2_H19"": 0.06201171875}"                                                                                                                                                                                                                                                                                                                                                 ,"{""L14_H22"": 0.24609375, ""L2_H16"": 0.36328125, ""L5_H8"": 0.546875, ""L21_H20"": 0.00360107421875, ""L18_H11"": 0.09130859375, ""L17_H9"": 0.007476806640625, ""L24_H5"": 0.004852294921875, ""L17_H2"": 0.099609375, ""L24_H3"": 0.002777099609375, ""L18_H10"": 0.01202392578125, ""L14_H2"": 0.00933837890625, ""L2_H19"": 0.1494140625}"
        24 ,Bananas are rich in potassium                                 ,Bananas are rich in sodium                                     ,"{""L14_H22"": 0.189453125, ""L2_H16"": 0.4296875, ""L5_H8"": 0.12255859375, ""L17_H9"": 0.06005859375, ""L2_H19"": 0.058837890625, ""L17_H2"": 0.05712890625, ""L14_H2"": 0.09033203125, ""L21_H20"": 0.0098876953125, ""L18_H11"": 0.032470703125, ""L24_H5"": 0.044921875}"                                                                                                                                                                                                                                                                                                                                                                                                                            ,"{""L14_H22"": 0.1337890625, ""L2_H16"": 0.1845703125, ""L5_H8"": 0.53125, ""L17_H9"": 0.06982421875, ""L2_H19"": 0.123046875, ""L17_H2"": 0.05322265625, ""L14_H2"": 0.042236328125, ""L21_H20"": 0.00927734375, ""L18_H11"": 0.0277099609375, ""L24_H5"": 0.050537109375}"
        25 ,The atomic number of carbon is 6                              ,The atomic number of carbon is 8                               ,"{""L14_H22"": 0.046142578125, ""L2_H16"": 0.00067901611328125, ""L17_H9"": 0.1376953125, ""L5_H8"": 0.045166015625, ""L24_H5"": 0.031005859375, ""L14_H2"": 0.1787109375, ""L21_H20"": 0.01226806640625, ""L17_H2"": 0.396484375, ""L2_H19"": 0.005584716796875, ""L18_H11"": 0.0869140625, ""L18_H10"": 0.1630859375}"                                                                                                                                                                                                                                                                                                                                                                                  ,"{""L14_H22"": 0.12255859375, ""L2_H16"": 0.0009613037109375, ""L17_H9"": 0.36328125, ""L5_H8"": 0.09228515625, ""L24_H5"": 0.015380859375, ""L14_H2"": 0.18359375, ""L21_H20"": 0.00958251953125, ""L17_H2"": 0.205078125, ""L2_H19"": 0.015380859375, ""L18_H11"": 0.05810546875, ""L18_H10"": 0.07421875}"
        27 ,The moon orbits around Earth                                  ,The moon orbits around Mars                                    ,"{""L14_H22"": 0.376953125, ""L21_H20"": 0.006195068359375, ""L17_H9"": 0.034912109375, ""L5_H8"": 0.049560546875, ""L17_H0"": 0.265625, ""L18_H10"": 0.080078125, ""L17_H2"": 0.0198974609375, ""L16_H22"": 0.427734375, ""L24_H5"": 0.0262451171875, ""L23_H10"": 0.044189453125, ""L18_H11"": 0.029541015625, ""L2_H16"": 0.271484375, ""L2_H19"": 0.1044921875, ""L13_H16"": 0.36328125, ""L24_H4"": 0.01708984375, ""L24_H3"": 0.1416015625, ""L21_H18"": 0.003265380859375, ""L14_H10"": 0.1826171875, ""L12_H20"": 0.047119140625, ""L27_H23"": 0.279296875, ""L13_H3"": 0.20703125, ""L10_H3"": 0.044921875, ""L26_H9"": 0.06005859375, ""L21_H15"": 0.00982666015625, ""L16_H23"": 0.388671875}" ,"{""L14_H22"": 0.1015625, ""L21_H20"": 0.004669189453125, ""L17_H9"": 0.035888671875, ""L5_H8"": 0.60546875, ""L17_H0"": 0.59765625, ""L18_H10"": 0.0247802734375, ""L17_H2"": 0.07373046875, ""L16_H22"": 0.427734375, ""L24_H5"": 0.005645751953125, ""L23_H10"": 0.020751953125, ""L18_H11"": 0.05517578125, ""L2_H16"": 0.318359375, ""L2_H19"": 0.291015625, ""L13_H16"": 0.1298828125, ""L24_H4"": 0.003082275390625, ""L24_H3"": 0.01043701171875, ""L21_H18"": 0.005218505859375, ""L14_H10"": 0.357421875, ""L12_H20"": 0.287109375, ""L27_H23"": 0.154296875, ""L13_H3"": 0.1279296875, ""L10_H3"": 0.8359375, ""L26_H9"": 0.037353515625, ""L21_H15"": 0.0027313232421875, ""L16_H23"": 0.29296875}"
        28 ,The Pyramids of Giza are in Egypt                             ,The Pyramids of Giza are in Mexico                             ,"{""L14_H22"": 0.2294921875, ""L2_H16"": 0.546875, ""L5_H8"": 0.08740234375, ""L2_H19"": 0.08935546875, ""L14_H2"": 0.0693359375, ""L17_H9"": 0.0244140625, ""L24_H5"": 0.006256103515625, ""L18_H11"": 0.013427734375, ""L21_H20"": 0.0045166015625, ""L2_H17"": 0.3984375, ""L17_H2"": 0.01495361328125, ""L5_H6"": 0.2138671875}"                                                                                                                                                                                                                                                                                                                                                                      ,"{""L14_H22"": 0.373046875, ""L2_H16"": 0.38671875, ""L5_H8"": 0.74609375, ""L2_H19"": 0.2373046875, ""L14_H2"": 0.06005859375, ""L17_H9"": 0.0284423828125, ""L24_H5"": 0.0081787109375, ""L18_H11"": 0.04345703125, ""L21_H20"": 0.004974365234375, ""L2_H17"": 0.10400390625, ""L17_H2"": 0.0625, ""L5_H6"": 0.2216796875}"
